"error_name","SurveyorID","Submission.Id","Orig.collection.date","Quad.Sub.Quad","StemTag","Species","QX","QY","DBH","Status.census.2","HOM","Status.2021","Crown.position","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","Lianas","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Dead.with.resprout","Notes.2021"
"wounded_level_but_wrong_status_or_FAD","KN","d63e2716-1ff8-40bf-b55d-34391751c3ab","2021-07-08","0103-11","10173","betupa","7.62917","1.8606",20.3,"A",1.3,"AU","3",10,2,NA,"0","B","3",NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","d63e2716-1ff8-40bf-b55d-34391751c3ab","2021-07-08","0103-21","10262","tsugca","6.2616","7.16931",15.1,"A",1.3,"AU","2",90,88,NA,"0","B,OT","2",NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","KN","d63e2716-1ff8-40bf-b55d-34391751c3ab","2021-07-08","0103-22","10243","tsugca","1.7615","0.8558",10.7,"A",1.3,"AU","1",50,50,NA,"0","B,I,LF,OT","3",NA,NA,"False","Missing top appears old, some HWA visible"
"wounded_level_but_wrong_status_or_FAD","LM","71b1a1be-7c8e-4e71-92e9-ceba75144cb2","2021-07-11","0123-22","12426","acerru","7.5201","0.5269",14.4,"A",1.3,"AU","2",100,100,NA,"0","HS","1",NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","6d6e2282-2af4-4dd5-9b33-e92640c9f471","2021-07-08","0303-11","30216","acerru","8.93865","9.66115",11.7,"A",1.3,"DC","1",0,0,NA,"0","B,F","2",NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","6d6e2282-2af4-4dd5-9b33-e92640c9f471","2021-07-08","0303-21","30377","acerru","4.9344","9.72508",10.2,"A",1.3,"DS","1",0,0,NA,"0","B,F","2",NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","0579c5c1-963e-421c-bb81-803fb6ee326d","2021-07-08","0304-11","30484","betual","2.21452","0.74255",14.9,"A",1.3,"DS","1",0,0,NA,"0","B,F","2",NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","719d3b2d-f29e-496d-9417-4129f63b74a1","2021-07-10","0309-12","30949","tsugca","5.0891","3.4296",16.6,"A",1.3,"DS","2",75,0,NA,"0","I,S",NA,NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","719d3b2d-f29e-496d-9417-4129f63b74a1","2021-07-10","0309-12","30949","tsugca","5.0891","3.4296",16.6,"A",1.3,"AU","1",5,5,NA,"0","B,F","2",NA,NA,"False",NA
"wounded_level_but_wrong_status_or_FAD","NM","20b52a47-0313-4e5a-91f9-47ca19ced5ab","2021-07-10","0311-11","31044","tsugca","4.74338","4.22227",51.4,"A",1.8,"DS","3",55,0,NA,"0","B","2",NA,NA,"False",NA
